timestamp,totalPower_W,pvPower_W,gridDraw_W,battery_soc,lineA_speed_pct,lineB_speed_pct,lineA_mode,lineB_mode,hvac_mode,lighting_mode,prodA_uph,prodB_uph,anomaly_flag,anomaly_factor
2025-11-11T07:02:33.542553Z,13170.65,1144.3,11859.69,0.0,108.0,95.0,RUNNING,RUNNING,RUNNING,RUNNING,108.0,76.0,0,1.0
2025-11-11T07:03:33.542553Z,5341.05,1113.04,4228.01,0.0,101.0,66.0,RUNNING,IDLE,OFF,RUNNING,101.0,26.400000000000002,0,1.0
2025-11-11T07:04:33.542553Z,5121.75,1170.13,3951.62,0.0,98.0,0.0,RUNNING,OFF,OFF,RUNNING,98.0,0.0,0,1.0
2025-11-11T07:05:33.542553Z,12697.69,1169.45,11528.24,0.0,104.0,87.0,RUNNING,RUNNING,RUNNING,RUNNING,104.0,69.6,0,1.0
2025-11-11T07:06:33.542553Z,1807.09,1149.42,657.67,0.0,0.0,0.0,OFF,OFF,OFF,RUNNING,0.0,0.0,0,1.0
2025-11-11T07:07:33.542553Z,9739.59,1210.23,8529.36,0.0,102.0,93.0,RUNNING,RUNNING,OFF,RUNNING,102.0,74.4,1,1.5316734307889974
2025-11-11T07:08:33.542553Z,10420.93,1253.23,9167.7,0.0,98.0,56.0,RUNNING,IDLE,RUNNING,RUNNING,98.0,22.400000000000002,0,1.0
2025-11-11T07:09:33.542553Z,12036.42,1304.0,10732.42,0.0,92.0,85.0,RUNNING,RUNNING,RUNNING,RUNNING,92.0,68.0,0,1.0
2025-11-11T07:10:33.542553Z,13153.34,1294.13,11859.21,0.0,99.0,97.0,RUNNING,RUNNING,RUNNING,RUNNING,99.0,77.6,0,1.0
2025-11-11T07:11:33.542553Z,7847.22,1294.8,6552.42,0.0,108.0,86.0,RUNNING,RUNNING,OFF,RUNNING,108.0,68.8,0,1.0
2025-11-11T07:12:33.542553Z,10067.82,1242.63,8825.19,0.0,96.0,0.0,RUNNING,OFF,RUNNING,RUNNING,96.0,0.0,0,1.0
2025-11-11T07:13:33.542553Z,12770.77,1283.16,11487.61,0.0,99.0,96.0,RUNNING,RUNNING,RUNNING,RUNNING,99.0,76.8,0,1.0
2025-11-11T07:14:33.542553Z,12301.68,1276.21,11025.47,0.0,96.0,86.0,RUNNING,RUNNING,RUNNING,RUNNING,96.0,68.8,0,1.0
2025-11-11T07:15:33.542553Z,12207.16,1401.78,10805.38,0.0,95.0,88.0,RUNNING,RUNNING,RUNNING,RUNNING,95.0,70.4,0,1.0
2025-11-11T07:16:33.542553Z,9208.42,1343.17,7865.25,0.0,0.0,93.0,OFF,RUNNING,RUNNING,RUNNING,0.0,74.4,0,1.0
2025-11-11T07:17:33.542553Z,13216.24,1364.59,11851.65,0.0,96.0,104.0,RUNNING,RUNNING,RUNNING,RUNNING,96.0,83.2,0,1.0
2025-11-11T07:18:33.542553Z,10844.56,1367.17,9477.39,0.0,105.0,0.0,RUNNING,OFF,RUNNING,RUNNING,105.0,0.0,0,1.0
2025-11-11T07:19:33.542553Z,12931.52,1430.32,11501.2,0.0,92.0,104.0,RUNNING,RUNNING,RUNNING,RUNNING,92.0,83.2,0,1.0
2025-11-11T07:20:33.542553Z,2182.17,1446.06,736.11,0.0,67.0,63.0,IDLE,IDLE,OFF,RUNNING,33.5,25.2,0,1.0
2025-11-11T07:21:33.542553Z,10781.96,1473.47,9308.49,0.0,109.0,0.0,RUNNING,OFF,RUNNING,RUNNING,109.00000000000001,0.0,0,1.0
2025-11-11T07:22:33.542553Z,10117.34,1518.24,8599.1,0.0,95.0,0.0,RUNNING,OFF,RUNNING,RUNNING,95.0,0.0,0,1.0
2025-11-11T07:23:33.542553Z,13440.3,1510.19,11930.11,0.0,105.0,103.0,RUNNING,RUNNING,RUNNING,RUNNING,105.0,82.4,0,1.0
2025-11-11T07:24:33.542553Z,9788.71,1530.16,8258.55,0.0,90.0,52.0,RUNNING,IDLE,RUNNING,RUNNING,90.0,20.8,0,1.0
2025-11-11T07:25:33.542553Z,10425.16,1548.14,8877.02,0.0,99.0,0.0,RUNNING,OFF,RUNNING,RUNNING,99.0,0.0,0,1.0
2025-11-11T07:26:33.542553Z,5234.85,1491.76,3743.09,0.0,96.0,0.0,RUNNING,OFF,OFF,RUNNING,96.0,0.0,0,1.0
2025-11-11T07:27:33.542553Z,9761.3,1552.79,8208.51,0.0,91.0,0.0,RUNNING,OFF,RUNNING,RUNNING,91.0,0.0,0,1.0
2025-11-11T07:28:33.542553Z,13320.41,1543.73,11776.68,0.0,109.0,94.0,RUNNING,RUNNING,RUNNING,RUNNING,109.00000000000001,75.19999999999999,0,1.0
2025-11-11T07:29:33.542553Z,12835.26,1611.43,11223.83,0.0,104.0,87.0,RUNNING,RUNNING,RUNNING,RUNNING,104.0,69.6,0,1.0
2025-11-11T07:30:33.542553Z,9111.2,1622.89,7488.31,0.0,0.0,89.0,OFF,RUNNING,RUNNING,RUNNING,0.0,71.2,0,1.0
2025-11-11T07:31:33.542553Z,10063.19,1601.29,8461.9,0.0,94.0,0.0,RUNNING,OFF,RUNNING,RUNNING,94.0,0.0,0,1.0
2025-11-11T07:32:33.542553Z,13547.1,1571.46,11975.64,0.0,106.0,98.0,RUNNING,RUNNING,RUNNING,RUNNING,106.0,78.4,0,1.0
2025-11-11T07:33:33.542553Z,5774.89,1650.5,4124.39,0.0,109.0,0.0,RUNNING,OFF,OFF,RUNNING,109.00000000000001,0.0,0,1.0
2025-11-11T07:34:33.542553Z,7272.21,1730.6,5541.61,0.0,90.0,92.0,RUNNING,RUNNING,OFF,RUNNING,90.0,73.60000000000001,0,1.0
2025-11-11T07:35:33.542553Z,9621.88,1659.23,7962.65,0.0,62.0,95.0,IDLE,RUNNING,RUNNING,RUNNING,31.0,76.0,0,1.0
2025-11-11T07:36:33.542553Z,1775.91,1743.42,32.49,0.0,0.0,0.0,OFF,OFF,OFF,RUNNING,0.0,0.0,0,1.0
2025-11-11T07:37:33.542553Z,9029.14,1774.52,7254.62,0.0,0.0,93.0,OFF,RUNNING,RUNNING,RUNNING,0.0,74.4,0,1.0
2025-11-11T07:38:33.542553Z,7597.88,1726.73,5871.15,0.0,98.0,91.0,RUNNING,RUNNING,OFF,RUNNING,98.0,72.8,0,1.0
2025-11-11T07:39:33.542553Z,10436.98,1570.34,8866.64,0.0,105.0,0.0,RUNNING,OFF,RUNNING,RUNNING,105.0,0.0,0,1.0
2025-11-11T07:40:33.542553Z,12730.58,1856.08,10874.5,0.0,99.0,96.0,RUNNING,RUNNING,RUNNING,RUNNING,99.0,76.8,0,1.0
2025-11-11T07:41:33.542553Z,10017.79,1693.9,8323.89,0.0,96.0,0.0,RUNNING,OFF,RUNNING,RUNNING,96.0,0.0,0,1.0
2025-11-11T07:42:33.542553Z,10017.78,1684.39,8333.39,0.0,0.0,104.0,OFF,RUNNING,RUNNING,RUNNING,0.0,83.2,0,1.0
2025-11-11T07:43:33.542553Z,5692.56,1803.82,3888.74,0.0,102.0,0.0,RUNNING,OFF,IDLE,RUNNING,102.0,0.0,0,1.0
2025-11-11T07:44:33.542553Z,10558.81,1826.06,8732.75,0.0,103.0,0.0,RUNNING,OFF,RUNNING,RUNNING,103.0,0.0,0,1.0
2025-11-11T07:45:33.542553Z,12218.29,1852.53,10365.76,0.0,97.0,88.0,RUNNING,RUNNING,RUNNING,RUNNING,97.0,70.4,0,1.0
2025-11-11T07:46:33.542553Z,1988.05,1749.96,238.09,0.0,67.0,0.0,IDLE,OFF,OFF,RUNNING,33.5,0.0,0,1.0
2025-11-11T07:47:33.542553Z,9841.56,1915.79,7925.77,0.0,90.0,0.0,RUNNING,OFF,RUNNING,RUNNING,90.0,0.0,0,1.0
2025-11-11T07:48:33.542553Z,9968.48,1965.11,8003.37,0.0,98.0,0.0,RUNNING,OFF,RUNNING,RUNNING,98.0,0.0,0,1.0
2025-11-11T07:49:33.542553Z,1810.88,1917.58,-0.0,0.3201,0.0,0.0,OFF,OFF,OFF,RUNNING,0.0,0.0,0,1.0
